id,english,tigrinya,domain
180,"The right to dignity, humane treatment and freedom from any form of abuse or exploitation; ",??? ?? ????? ???? ????? ?? ??? ??? ???? ?????? ?? ???? ?? ?? ???? ???? ?????,legal
181,The right to privacy and confidentiality; ,???? ???? ?? ?? ????? ???? ?? ????? ????,legal
182,The right to be provided with honest and truthful information; ,???? ???? ???? ?? ???? ????,legal
183,"The right to access your personal information, including viewing your case file; ",?? ??? ????  ?? ????????? ??? ??????? ?? ???? ????,legal
184,The right to have your identity and photo protected from public use without your signed consent;,?? ???? ???? ?? ?????? ??? ??? ?????? ????? ?? ??? ??????? ?? ???? ????,legal
185,The right to request to speak with a supervisor and/or file a grievance if you are unsatisfied with your services,?? ????? ?? ????? ??? ??? ???/?? ?? ??????? ????? ????????? ??? ?? ???? ???,legal
186,"All volunteers and staff of Exodus Refugee Immigration, Inc. have the following rights:","??? ???????? ??????? Exodus Refugee Immigration, Inc? ??? ???? ???? ??????",legal
187,The right to be treated with respect in all interactions; ,?? ?? ??? ???? ???? ?? ?????? ????,legal
188,"The right to dignity, humane treatment and freedom from any form of abuse or exploitation; ",??? ?? ????? ???? ????? ?? ??? ??? ???? ?????? ?? ???? ?? ?? ???? ???? ?????,legal
189,The right to be provided with honest and truthful information; ,???? ???? ???? ?? ???? ????,legal
190,"If you feel your rights as a client of Exodus Refugee Immigration, Inc. have been violated, or if you are otherwise dissatisfied with your program participation, you may follow the following grievance procedure:","??  ???? ?? Exodus Refugee Immigration, Inc ?????? ?? ????? ??? ??????? ?? ???? ???? ?????? ?? ??? ?????? ??? ?????? ?? ???? ?? ???? ???? ????? ???? ????",legal
191,"Present the matter directly to a staff member either in person, in writing or by telephone.",?? ??? ???? ?? ?? ?????  ????? ???? ?? ????? ??????,legal
192,If comfortable discuss your concerns directly with the staff member involved in the grievance.,???   ?????? ???  ??? ???? ???? ??? ??????? ???? ??????,legal
193,"You may request an interpreter or provide an interpreter, as needed.",?? ???????  ????   ????? ?? ????  ?????? ???? ????,legal
194,You may also request an alternative interpreter if you are uncomfortable with the assigned interpreter.,???  ????? ????  ??? ?????????  ???? ????   ??? ???? ???? ????,legal
195,Contact the office director to discuss your experience. ,??????  ?????? ?? ??? ?? ???? ??? ????,legal
196,"This may be done in person, in writing or by telephone.",?? ????? ???? ?? ????? ???? ???? ???,legal
197,You may request an interpreter or provide your own as needed.,??????  ???? ?? ??? ??????  ?? ????? ??????  ????? ???? ????,legal
198,You have the right to request an alternative interpreter if you are uncomfortable with the assigned interpreter.,??'? ???????? ??????  ??? ??? ?????? ??? ??????  ???? ??? ?????,legal
199,"If you are dissatisfied with the actions taken in response to your grievance, you have the right to contact the national headquarters of Church World Service to file a grievance. ",???????  ??? ????  ?????? ???? ?????? ????????? ???? ????? ? ???? ?? ?? ???? ?????? ?? ?????? ???  ??????? ??? ????? ,legal
200,Contact information:,?? ??? ?????,legal
201,"For individuals enrolled in Office of Refugee Resettlement (ORR) programs, if you are dissatisfied with the actions taken in response to your grievance, you also have the right to contact the Office of Refugee Resettlement (ORR):",?? ???? ?? ???? ???-???? ?????? (ORR) ??????? ??????? ?? ???????  ??? ???? ????? ???? ?????????? ?? ?? ???? ???-???? ?????? (ORR) ?? ???? ???’?? ?????,legal
202,Seattle Preschool Program 2025-26 Tuition Payment Guidelines,????? ??? ????? Seattle 2025-26 ???? ???? ?????,legal
203,Tuition Payment Policies,????? ???? ?????,legal
204,Tuition covers the 6-hours/day of SPP programming only; it does NOT cover childcare costs outside of regular school hours or scheduled school days.,???? ????? ?6 ????/???? ?? SPP ????? ??? ???? ??? ?? ??? ?? ????? ???? ?? ????? ?? ????? ????? ??? ????? ????? ???? ???? ?????? ???,legal
205,Please see the sample schedule below for more details.,???? ???? ???? ?? ??? ?? ??? ??? ????,legal
206,SPP billing will begin in October; families will not be billed SPP Tuition during September.,?? SPP ??? ???? ?? ???  ????? ???? ??? ?????? ?? ??? ?????? ?? SPP ???? ???????? ???,legal
207,"Tuition will <1>not</1> be prorated due to regular student absences or typical agency closures (breaks, snow days).",???? ??? ???? ???? ?? ??? ,legal
208,,???? ???? (????? ????? ???) ???? ????? <1>?????</1>???? ??????? ???,legal
209,June tuition invoices will not be pro-rated regardless of start/exit dates.,?? ?? ???? ????? ????? ????/???? ????? ?????? ?????? ?????? ???,legal
210,Further information about pro-rating can be found in the <1>Tuition Adjustments</1> section.,???? ???? ???? ??????  ?? <1>?????? ????</1> ??? ??? ????? ???? ????,legal
211,Monthly tuition bills will be sent to the primary email on file beginning September 2025.,???? ???? ????? ?? ?????? 2025 ?.? ??? ??? ?? ??? ?? ?? ???? ???? ??::,legal
212,DEEL offers a 10% discount for each additional sibling enrolled in SPP.,DEEL ???? ????? ?? SPP ?????? ???? ?? ?? ??? 10 ???? ??? ????,legal
213,Billing Schedule,??? ??? ????,legal
214,Invoice month,???? ????? ?????,legal
215,Sep,??????,legal
216,Oct,?????,legal
217,Nov,?????,legal
218,Dec,?????,legal
219,Jan,????,legal
220,Feb,????,legal
221,Mar,???,legal
222,Apr,????,legal
223,May,??,legal
224,Jun,??,legal
225,Cut-off Date to,???? ??? ??,legal
226,Report Changes,????? ????,legal
227,No Bills sent,??? ??? ????? ???,legal
228,10/3/2025,10/3/2025,legal
229,11/3/2025,11/3/2025,legal
230,12/3/2025,12/3/2025,legal
231,1/3/2026,1/3/2026,legal
232,2/3/2026,2/3/2026,legal
233,3/3/2026,3/3/2026,legal
234,4/3/2026,4/3/2026,legal
235,5/3/2026,5/3/2026,legal
236,6/3/2026,6/3/2026,legal
237,Tuition Bills,?? ????? ???,legal
238,Emailed,????? ?????,legal
239,No Bills sent,??? ??? ????? ???,legal
240,10/9/2025,10/9/2025,legal
241,11/12/2025,11/12/2025,legal
242,12/9/2025,12/9/2025,legal
243,1/9/2026,1/9/2026,legal
244,2/9/2026,2/9/2026,legal
245,3/9/2026,3/9/2026,legal
246,4/9/2026,4/9/2026,legal
247,5/11/2026,5/11/2026,legal
248,6/9/2026,6/9/2026,legal
249,Payment Due,???? ?????,legal
250,Date,???,legal
251,No Bills sent,??? ??? ????? ???,legal
252,10/24/2025,10/24/2025,legal
253,Nov-25,Nov-25,legal
254,12/24/2025,12/24/2025,legal
255,1/24/2026,1/24/2026,legal
256,2/24/2026,2/24/2026,legal
257,3/24/2026,3/24/2026,legal
258,4/24/2026,4/24/2026,legal
259,5/26/2026,5/26/2026,legal
260,6/24/2026,6/24/2026,legal
261,Tuition Adjustments,?????? ???? ?????,legal
262,Changes to income or household size should be reported to the <1>SPP enrollment team</1> before the cut-off date (see above) to be included in that month’s billing cycle.,?? ??? ?? ??? ????? ???? ???? ???’? ?? ???? ???? (?? ??? ???) ?? <1>??? ???? SPP</1> ???? ???? ?? ?? ?? ??? ??? ??? ??? ???? ????,legal
263,"Otherwise, all changes apply to the next month’s billing date.",????????? ?? ????? ??’? ???? ??? ?? ??? ??? ??????,legal
264,June tuition invoices will not be pro-rated regardless of start/exit dates.,?? ?? ???? ????? ????? ????/???? ????? ?????? ?????? ?????? ???,legal
265,"For children entering or exiting mid-month between October – May, tuition will be prorated as follows:",?? ??? ????? –?? ?? ???? ??? ????? ?? ??? ????? ???? ????? ???? ???? ???? ?????,legal
266,"Entering on or before the 15<1>th</1>, or exiting on or after the 15<2>th</2>, no change to tuition requirements",??? 15<1>?</1> ???? ?? ??? 15<2>?</2> ???? ???? ????? ?? ?? ????? ???? ????? ??? ????,legal
267,"Entering after the 15<1>th</1> or exiting before the 15<2>th</2>, monthly tuition will be reduced by 50%",??? 15<1>?</1> ???? ?? ??? 15<2>?</2> ???? ???? ???? ?50 ???? ???? ???,legal
268,Sample Schedule: Preschool Day and Payment Structure,??? ??? ???? ???? ??? ?????? ??-???? ??????,legal
269,,,legal
270,*EXAMPLE*,*????*,legal
271,7:00 am—9:00 am,,legal
272,,?? 7:00 ?.??—9:00 ?.??,legal
273,Before/Extended Care Hours,???/????? ???? ????,legal
274,*EXAMPLE*,*????*,legal
275,9:00 am—3:00 pm,?? 9:00 ?.??—3:00 ?.??,legal
276,SPP School Hours,?? SPP ?? ????? ????,legal
277,*EXAMPLE*,*????*,legal
278,3:00 pm—6:00 pm,?? 3:00 ?.??—6:00 ?.??,legal
279,After/Extended Care Hours,???/????? ?? ???? ????,legal
280,<1>Cost:</1>  Rates vary by Provider.,<1>???</1> ???? ??? ???? ??????,legal
281,Please contact your child’s school to learn extended day cost.,?????? ?? ???? ????? ????? ???? ?? ?? ????? ????? ?????,legal
282,<1>Payment Method</1>: Payment paid directly to Provider.,<1>???? ????</1>? ???? ???? ?? ???? ?????,legal
283,Typical payment methods include childcare subsidies and paying out of pocket.,???? ????? ????? ??? ???? ????? ?? ??? ????? ???????,legal
284,<1>Cost:</1>  SPP tuition is determined on a sliding scale.,<1>???</1> ????? SPP ????? ??? ?? ?????,legal
285,Payment Method<1>:</1>,???? ????<1>?</1>,legal
286,Payment paid directly to the City of Seattle/SPP.,???? ???? ?? ??? Seattle /SPP ?????,legal
287,Please see chart on page 2 to learn how to submit payment.,???? ???? ?? ????? ????? ?? ??  2 ?? ????? ????,legal
288,<1>Cost:</1>  Rates vary by Provider.,<1>???</1> ???? ??? ???? ??????,legal
289,Please contact your child’s school to learn extended day cost.,?????? ?? ???? ????? ????? ???? ?? ?? ????? ????? ?????,legal
290,<1>Payment Method</1>: Payment paid directly to Provider.,<1>???? ????</1>? ???? ???? ?? ???? ?????,legal
291,Typical payment methods include childcare subsidies and paying out of pocket.,???? ????? ???? ??? ???? ????? ?? ??? ????? ???????,legal
292,"*Please note, this is a sample schedule.",*??????? ?? ??? ??? ???,legal
293,Actual hours of operation vary by individual provider and not all providers offer extended hours*,??? ?? ??? ???? ???? ??? ?????? ???? ?? ??? ???? ?????? ?? ????? ???? ?????*,legal
294,Making Payments,???? ????,legal
295,Payments are due according to the billing schedule.,???? ????? ?? ??? ??? ?????,legal
296,See Payment Options for how/where to make payments.,???/??? ???? ?? ????? ?? ?????? ???? ????,legal
297,"When making payments over the phone or online, you will need your Customer ID and Invoice #.",????? ?? ??????? ???? ????? ????? ???? ?????? ???? #? ?????? ???,legal
298,Write “City of Seattle-SPP” on all checks or money orders.,?? ?? ?? ?? ???? ????“City of Seattle-SPP” ??? ??? ??? ? ,legal
299,Payment Options,?? ???? ??????,legal
300,Contact Information / Address,??? ???? / ????,legal
301,Payment Types,????? ????,legal
302,Online,?????,legal
303,(Preferred method), (???? ????),legal
304,The portal is available here:  <1>Lookup Account Details (billerpayments.com)</1>,?? ???? ??? ??? <1>???? ??? ???? (billerpayments.com)</1>,legal
305,Need the Customer ID and Invoice #,?? ??? ???? ????? ????? ??? #,legal
306,"If the invoice is <1>under $3000,</1> both credit card and bank account are accepted.",?? ???? <1>??? 3000 ??? ???????</1> ????? ???? ???? ??? ???? ?????? ?????,legal
307,"If the invoice is <1>over $3000, only a bank account</1> can be used.",?? ???? <1>??? 3000 ??? ?????? ?? ??? ???</1> ??? ?? ???? ?????,legal
308,Mail,???,legal
309,(Preferred method),(???? ????),legal
310,City of Seattle - SPP,??? Seattle – SPP,legal
311,Treasury Dept Accts Receivable PO Box 94626,Treasury Dept Accts ???? ??? ??? 94626,legal
312,"Seattle, WA 98124-6926",Seattle? WA 98124-6965,legal
313,Check or Money Order,?? ?? ???? ????,legal
314,Write “City of Seattle-SPP” on all checks or money orders.,?? ?? ?? ?? ???? ???? “City of Seattle-SPP” ??? ??? ????,legal
315,Phone,????,legal
316,(Only when the online payment portal is not available),(?? ?? ????? ???? ???? ?? ?????? ??? ???),legal
317,City Payment Line:,???? ???? ????,legal
318,(206) 684-7800,(206) 684-7800,legal
319,Hours: 8:30 am to 3:00 pm,????? 8:30 ?.?? to 3:00 ?.?? ,legal
320,VISA/Mastercard (3-digit security code is required),??/??????? (3 ??? ??? ?? ???? ?? ???),legal
321,Need the Customer ID and Invoice #.,?? ??? ????? ????? ??? #?,legal
322,In-Person,????,legal
323,Seattle Municipal Tower,Seattle Municipal Tower,legal
324,4<1>th</1> Floor Payment/Information Desk Seattle Municipal Tower,4<1>?</1> ??? ????/???? ??? Seattle Municipal Tower,legal
325,700 5<1>th</1> Avenue,700 5<1>?</1> Avenue,legal
326,"Seattle, WA 98104",Seattle? WA 98104,legal
327,Hours: 8:30 am – 4:00 pm,????? 8:30 ?.?? – 4:00 ?.??,legal
328,"VISA/Mastercard, Cash, Check",??/???????? ?? ????? ??,legal
329,Customer Service Centers <1>http://www.seattle.gov/customer-</1> <2>service-centers</2>,????? ?????? ???? <1>http://www.seattle.gov/customer-</1> <2>?????-??????</2>,legal
330,"VISA/Mastercard, Cash, Check",??/???????? ?? ????? ??,legal
331,Proof of Payment – For Information Purposes Only,???? ???? – ????? ???,legal
332,"As a courtesy, SPP will mail tuition history statements twice a year, in February and July",?? ??-????? SPP ?? ??? ??? ??? ??? ?? ??? ???? ?  ??? ?? ?????? ??? ????? ???? ???? ???,legal
333,"For additional payment summaries, please send an email request to: <1>SPPbilling@seattle.gov</1>",????? ??? ????? ???? ??? ???? ???? ?? ???? <1>SPPbilling@seattle.gov</1>,legal
334,Contact Us,????,legal
335,Billing Questions Email: <1>SPPBilling@seattle.gov</1>,???? ??? ????? <1>SPPBilling@seattle.gov</1>,legal
336,Billing Questions Phone: 206-684-5660,???? ??? ???? 206-684-5660,legal
337,Hours: 8:00 am – 4:00 pm,????? 8:00 ?.?? – 4:00 ?.??,legal
338,Seattle Preschool Program Frequently Asked Questions,??? ??? ????? Seattle ?????? ???? ????,legal
339,When is my payment due?,????? ??? ?? ?????,legal
340,Payments are due according to the Billing Schedule above or on the date listed on the invoice.,???? ????? ?? ??? ?? ?? ??? ??? ?? ??? ???? ?????? ??? ?????,legal
341,,,legal
342,Where do I receive my monthly tuition bills?,???? ???? ?????? ??? ?? ?????,legal
343,,,legal
344,You will receive invoices via email from the City of Seattle from <1>info@seattle.gov</1> on the emailed date.,??? ????? ?????? ??? ?? ??? Seattle ?? <1>info@seattle.gov</1> ????? ????? ????? ????,legal
345,"If you do not receive an invoice on that date, please check your SPAM folder.",??? ??? ??? ????? ???????????? ???? SPAM ?????? ?????,legal
346,Be sure to add “<1>info@seattle.gov</1>” as a Safe Sender (or mark as not SPAM) to ensure you receive emails.,????? ?? ??????? ?????? “<1>info@seattle.gov</1>” ?? ??? ??? (?? ??? ?? ???? ????) ????? ??????,legal
347,Why are you billing me the full monthly amount for June?,?????? ??? ?? ?? ??? ???? ???? ????? ?????,legal
348,"All SPP providers offer a required minimum days of service, so tuition is split into a monthly cost that remains the same each month regardless of the number of days a program operates in a given month.",??? ???? SPP ??? ???? ????? ?????? ???? ??? ???? ????? ?? ???? ????? ????? ?? ?? ?? ??? ??? ??? ?? ???? ??? ???? ?????? ?? ????? ?? ????? ??? ????? ????? ???????,legal
349,,,legal
350,What if I am late or can’t make my payment on time?,???? ??’?? ????? ?? ??? ???? ????????’??,legal
351,Please notify the billing office if you have experienced a change in your family’s financial circumstances and are unable to make a payment.,?? ?????? ???? ??????? ??? ??? ??????? ???? ????? ??????????? ???? ??? ???? ??? ?????,legal
352,,,legal
353,"In some cases, you may be eligible for a tuition reduction.",?? ?? ?? ??????? ???? ???? ????? ??? ????? ???? ????,legal
354,,,legal
355,We may also be able to set up a payment plan.,?? ???? ??? ??? ????? ???? ?????,legal
356,,,legal
357,Please contact <1><2>SPPBilling@seattle.gov</2>.</1>,???? <1><2>SPPBilling@seattle.gov</2>.</1> ????,legal
358,,,legal
359,Do you offer online payment options?,?????? ?? ???? ?????? ??? ??,legal
360,,,legal
361,"Yes, we are happy to offer an online payment option.",??? ?????? ?? ???? ???? ????? ???? ???,legal
362,,,legal
363,"To access online payment, you will need your invoice and customer number.",?????? ???? ?????? ????? ??? ?????? ?????? ???,legal
364,,,legal
365,"If you don’t have these numbers, please contact SPP billing by email at <1>sppbilling@seattle.gov</1> or (206) 684-5660.",??? ????? ?????????? ???? ? SPP billing ????? <1>sppbilling@seattle.gov</1> ?? (206) 684-5660 ?????,legal
366,,,legal
367,The portal is available here:  <1>Lookup Account Details (billerpayments.com)</1>.,?? ???? ??? ???,legal
368,, <1>???? ??? ???? (billerpayments.com)</1>?,legal
369,,,legal
370,"Please note that, if the invoice is under $3000, both credit card and bank account are accepted.",???? ??????? ?? ????? ??? 3000 ??? ??????? ???? ?? ???? ???? ?? ??? ???? ?????? ????,legal
371,,,legal
372,Exodus Refugee Immigration Gleaners2Go Program,?? Exodus ?????? ?????? ??? Gleaners2Go,legal
373,Schedule,?? ?? ???,legal
374,Distribution day: Wednesdays 1 – 3 PM,???? ?????? ??? ?? ??? 1 – 3 ??? ???,legal
375,You can place an order starting at 12:30 PM on Fridays and ending at 11:30 AM on Mondays the week of the distribution.,??? ?? ??? 12?30 ??? ??? ??? ?? ??? ????? ?? ?? ??? 11?30 ??? ??? ???? ???? ???? ????,legal
376,*Please note you will not see any pickup times for your location until your ordering window opens each week.,*?? ??? ??? ??? ???? ?????? ??? ???? ???????? ??? ?? ???? ?? ???????? ???? ???????,legal
377,Ordering Window Opens,???? ???? ????,legal
378,Ordering Window Closes,???? ???? ???,legal
379,Order Pickup Day,???? ???? ????,legal
380,Fridays,?? ?? ???,legal
381,12:30 PM,12?30 ??? ???,legal
382,Mondays,?? ?? ???,legal
383,11:30 AM,11?30 ??? ???,legal
384,Wednesdays,?? ?? ???,legal
385,1 – 3 PM,1 – 3 ??? ???,legal
386,How to place your first order,??? ??? ?? ????? ?????? ????,legal
387,You will get an email from OrderAhead with a link to place an order.,?? OrderAhead ???? ???? ???? ??? ??? ???? ????? ???,legal
388,This is the website we use for Gleaners2Go orders.,?? ??? Gleaners2Go ???? ?????? ???? ???? ???,legal
389,Please check your Spam folder if you don’t see it in your inbox.,?? ??? ??????? ?????????? ???? ??? ?????? ?????,legal
390,"If you’re not able to find the email at all, please reach out to your site coordinator for help.",?? ???? ????? ?????? ??????????? ???? ??? ????? ?? ?????? ???? ?????? ????,legal
391,"Once you click the link, you’ll be taken to the OrderAhead website.",?? ??? ?? ?????? ?? ???? ???? OrderAhead ????? ????,legal
392,"On the website, select the Exodus Refugee Immigration location and choose a Pickup Time.",??? ???? ????? ?? Exodus ???? ?????? ?? ??? ???'?? ?? ???? ?? ????,legal
393,Browse through the items and click “Add to Cart” on the items you would like for your first order.,??? ???? ????? ??? ?????? ????? ????? ???? “Add to Cart” ??? ????,legal
394,Click “Checkout Now”.,“Checkout Now” ??? ????,legal
395,The next page will show all of your items and the weight of the order.,?? ???? ?? ?? ??????? ???? ??? ????? ??? ???,legal
396,Please make a note of the weight of your order so you’re prepared to transport these items on your pickup day.,???? ???? ?????? ??????? ??? ???? ?? ???? ?????? ?????? ???? ?????,legal
397,Click “Checkout”.,“Checkout” ??? ????,legal
398,"On the next page, you will be prompted to Login.",?? ???? ?? ?? Login ????? ?????,legal
399,Click “Sign up” and create your account.,“Sign up” ??? ??? ?? ????? ????,legal
400,Please write down your password to make sure you can login to your account in the future.,?? ??? ?? ??????? ????? ?? ????? ?????? ??????? ????,legal
401,Answer the food situation and demographic questions,???? ???? ??????? ????? ???,legal
402,"After placing your order, you will get a confirmation email from OrderAhead with the details of your order.",?????? ?? ?????? ?? OrderAhead ???? ?????? ??? ?? ????? ???? ????? ???,legal
403,Ordering FAQs,FAQs ????,legal
404,"If the website says “No Pickup Times Available” for your location when the ordering window is open, this means that all the order slots are full.",?? ???? ???? ???? ???? ??? ?? ???????? “No Pickup Times Available” ??? ??? ?? ??? ??? ?? ???? ???? ???? ??? ??? ???,legal
405,"If using a phone to place an order and the menu items don’t show properly, try turning the phone sideways to expand the screen.",???? ???? ??? ???? ????????? ??? ?? ???? ???? ???? ???????????? ???? ????? ?? ??? ???? ????? ????,legal
406,"If the problem persists, please contact your site coordinator.",?? ??? ??????? ???? ?? ?????? ???? ?????? ?????,legal
407,A 500-error code can occur if the order windows fill up while you’re in the process of ordering.,?? ???? ???? ?? ????? ???? ????? ???? ??????? 500-???? ??? ?? ???? ?????,legal
408,The only solution for this is to try placing the order again from the beginning.,??? ??? ???? ?? ????? ?? ???? ???? ???? ???? ???,legal
409,Page,??,legal
410,0x010100D079513C4BEDCD45AB057760E2B3FFB5,0x010100D079513C4BEDCD45AB057760E2B3FFB5,legal
411,R&P Case Closure Letter,?? R&P ??? ?? ???? ????,legal
412,Date:,????,legal
413,Case Number:,??? ????,legal
414,Dear:,????,legal
415,{t1}This letter is to inform you that you and the participating members of your family have completed the Reception and Placement (R&P) Program at Exodus Refugee Immigration - Indianapolis.,{t1}?? ???? ?? ???? ????? ???? ??????? ?? Exodus Refugee Immigration - Indianapolis  ????? ????? (R&P) Program ?? ?????? ????? ???,legal
416,As of {/t1}{u1}08/05/24{/u1}{t2} for the following reason: {/t2},?? {/t1}{u1}12/11/16{/u1}{t2} ????? ?????? {/t2},legal
417,Out-Migration,Out-Migration,legal
418,Cash-Based R&P (Pre or Post-Arrival Cash-Based),Cash-Based R&P (Pre or Post-Arrival Cash-Based),legal
419,Refusal of R&P Program services,?? R&P Program ??????? ?????,legal
420,Completion of R&P Program service period,???? ?? R&P Program ?? ?????? ??,legal
421,Other: ___________________________________,???? ___________________________________,legal
422,You and participating members of your family received the following R&P Program services from Exodus Refugee- Indianapolis:,???? ????? ???? ??????? ?? Exodus Refugee- Indianapolis ??? ???? ?? R&P Program ??????? ?????? ?????,legal
423,"Application for Public Benefits (SNAP, Medicaid, RMA, etc.)","????? ???? ????? (SNAP, Medicaid, RMA, ???)",legal
424,Application for Cash Assistance (Refugee Cash Assistance or TANF),?? ???? ??? ????? (?? ?????? ?? ???? ??? ?? TANF),legal
425,Assistance to enroll in the Matching Grant (MG) program.,?? ????? Matching Grant (MG) ?????? ???? ????,legal
426,Assistance to enroll in Employment programming.,?? ??? ??? ?????? ???? ????,legal
427,Assistance to enroll in English Language Training,?? ???? ??? ????? ?????? ???? ???,legal
428,Enrollment in school for school-age children,?? ??? ????? ????? ???? ?? ?? ????? ????,legal
429,Cultural Orientation,???? ????,legal
430,Assistance to complete the refugee health screening.,?? ?????? ?? ??? ???? ????? ??? ?????,legal
431,Assistance to receive a Social Security Card(s),????? ???? ???(??) ????? ???? ???,legal
432,Assistance to receive an Employment Authorization Document(s),?? ??? ??? ???(??) ????? ???? ???,legal
433,Other: WIC/ SSI / Family Reunification,???? WIC/ SSI / Family Reunification,legal
434,{t1}Services from the Office of Refugee Resettlement (ORR) will continue to be available to you for up to {/t1}{b1}five years{/b1}{t2} from the date of your arrival to the United States.,{t1}?? Office of Refugee Resettlement (ORR) ???? ?????? ??? {/t1}{b1}???? ???{/b1}{t2} ??? ?? ???? ?????? ???? ?????? ??? ??? ???? ???,legal
435,You can access these services at resettlement agencies or approved service providers closest to you.,??? ??????? ???? ????? ?? ???-???? ???? ?? ??? ???? ???? ?????? ?????? ???? ???,legal
436,"For more information, please visit ORR’s website at {/t2}{a1}https://www.acf.hhs.gov//orr/programs/refugees{/a1}",????? ?????????? ?? ORR ???-?? {/t2}{a1}https://www.acf.hhs.gov//orr/programs/refugees ????{/a1} ,legal
437,{b1}Preferred Communities{/b1}{t1} (PC):,{b1}Preferred Communities{/b1}{t1} (PC)?,legal
438,"The PC program supports refugees and ORR-eligible populations with challenging needs that require special attention, including those with serious medical conditions, women at risk and elderly refugees.{/t1}",?? ????? PC ???????? ?ORR ???? ??? ???? ??? ???? ???? ??? ???? ????? ????? ?? ?? ??? ??? ????? ???? ????? ?? ??? ???? ?? ?????? ?????? ??????? ???????{/t1},legal
439,{b1}Refugee Support Services{/b1}{t1} (RSS):,{b1}Refugee Support Services{/b1}{t1} (RSS)?,legal
440,"Refugee Support Services funding helps refugees and other ORR populations gain economic independence by heling them find and maintain employment, preferably within a year of being enrolled in the program.{/t1}",??? Refugee Support Services ???????? ???? ????? ORR? ??? ?????? ?????? ????? ???? ???? ????? ?????? ??????? ??? ??? ?? ?????? ?? ??? ?? ????{/t1},legal
441,{b1}PUBLIC ASSISTANCE:{/b1}{t1},{b1}PUBLIC ASSISTANCE?{/b1}{t1},legal
442,"You and your family members may also receive public benefits, as eligible.",?? ???????????? ???? ??????? ??? ???? ???? ????? ???? ????,legal
443,"If are receiving public benefit, you are required to report to FSSA/DFR of any household circumstance changes within 10 days.",???? ??? ???? ????????? ??? ?? ?? ???? ??? ?? ??? 10 ????? ?? FSSA/DFR ????? ?????,legal
444,This is FSSA/DFR contact number.,?? ?? FSSA/DFR ???? ??? ???,legal
445,1800-403-0864.{/t1},1800-403-0864?{/t1},legal
446,"{b1}TRAVEL LOAN:{/b1}{t1} As a reminder, refugees and SIVs are responsible to make payments towards their IOM Transportation Loan until the loan is paid in full.",{b1}TRAVEL LOAN?{/b1}{t1} ?? ?????? ??????? SIVs? ??? ?? ??? ??? ???? ???? ?? ?? IOM Transportation Loan ??? ???? ???? ????? ?????,legal
447,You will receive a notification letter within five to six months of your date of arrival to begin making payments.,???? ????? ?? ?????? ??? ??? ?? ??? ???? ??? ???? ???? ?? ???? ???? ???? ???,legal
448,"IOM Transportation Loan payments can be completed online, or payments can be mailed to the following addresses:{/t1}",???? IOM Transportation Loan ????? ???? ???? ????? ?? ?? ???? ???? ???? ?????? ???? ???? ?????{/t1},legal
449,Church World Service/IRP+,Church World Service/IRP+,legal
450,"475 Riverside Dr. STE 700 New York, NY 10115",475 Riverside Dr. STE 700 New York? NY 10115,legal
451,"For more information on repaying your IOM Travel Loan, please see below:",????? ???? ??????? ???? IOM Travel Loan? ?? ??? ???,legal
452,{t1}IOM Transportation Loan: {/t1}{a1}{a2}https://usr{/a2}{f1/}{a3}a{/a3}{f2/}{a4}p.iom.int/travel-loans{/a4}{/a1},{t1}IOM Transportation Loan? {/t1}{a1}{a2}https://usr{/a2}{f1/}{a3}a{/a3}{f2/}{a4}p.iom.int/travel-loans{/a4}{/a1},legal
453,CWS Travel Loan Department:,CWS Travel Loan Department?,legal
454,{t1}Payments:{/t1} {a1}https://cwsglobal.org/our-work/north-america/travel-loan-services/{/a1},{t1}?????{/t1} {a1}https://cwsglobal.org/our-work/north-america/travel-loan-services/{/a1},legal
455,"{t1}Phone: 1-866-723-9579 | Email: {/t1}{a1}travelloans@cwsglobal.org,{/a1}",{t1}????? 1-866-723-9579 | ????? {/t1}{a1}travelloans@cwsglobal.org?{/a1},legal
456,{b1}STATUS ADJUSTMENT:{/b1}{t1},{b1}STATUS ADJUSTMENT?{/b1}{t1},legal
457,Please remember you will need to adjust your status with United States Citizenship and Immigration Services (USCIS) one year after your date of arrival to obtain Permanent Residency in the United States.,???? ?? ???? ??? ???? ????? ??? ?? ??? ?? ??????? ??? ?? ?????? ????? ??????? ???? ?????? ???? (USCIS) ?????? ??????? ???????? ???????,legal
458,"If you require assistance to adjust your status or other legal immigration services, please contact Exodus Refugee- Indianapolis (317-921-0836).",????? ?? ??? ??? ?????? ?????? ??????? ??? ?? ????? ??? ?Exodus Refugee- Indianapolis (317-921-0836) ?????,legal
459,"It is very important that you adjust your status to that of legal permanent resident (green card) in a timely manner, failure to do so may cause delays to other immigration benefits including family reunification.  {/t1}",????? ?? ?? ??? ??? ??? (??? ???) ?? ??? ??????? ??? ???? ??? ??? ??????? ????? ?? ?????? ???? ??? ????? ????? ????? ???? ????? {/t1},legal
460,"{t1}Prior to adjusting status to Permanent Residency, refugees are unable to travel outside the United States and re-enter with refugee status.",{t1}??? ???? ?? ??? ???? ??????? ?????? ?? ???? ??? ????? ??? ???? ??? ???? ????? ?????? ????,legal
