id,english,tigrinya,domain
104,"Providers' employees, business associates, and other third parties acting on its behalf may contact you with information relating to your care, including: appointment reminders; scheduling or registration; alerts about preventative services and other treatment options; information regarding insurance, billing, eligibility, and/or collections; health-related promotional information that might be of interest to you; or other reminders and alerts that may be helpful in coordinating/continuing your health care.",ሰራሕተኛታት ወሃብቲ ኣገልግሎት፣ ናይ ንግዲ መሻርኽቶም፣ ከምኡ’ውን ካልኦት ብሽሞም ዝንቀሳቐሱ ሳልሳይ ወገናት ምስ ናቶም ክንክን ዝዛመድ ሓበሬታ ከቕርብሎም ይኽእሉ፣ እንተላይ፣ መዘኻኸሪታት ቆጸራ፣ መደብ ወይ ምዝገባ፣ መጠንቀቕታታት ብዛዕባ መከላኸሊ ኣገልግሎታትን ካልኦት ናይ ሕክምና ኣማራጺታትን፣ ሓበሬታ ብዛዕባ ውሕስነት፣ ክፍሊት፣ ብቕዓት፣ ወይ ድማ ምእካብ፣ ምስ ጥዕና ዝተኣሳሰር ንኦም ዝምልከት ሓበሬታ፣ ወይ ካልእ ኣብ ምምሕዳር/ምቕጻል ናይ ክንክን ጥዕንኦም ሓጋዚ ክኸውን ዝኽእል መዘኻኸሪታትን መጠንቀቕታታትን።,medical
105,"You expressly consent and agree to be contacted at the phone number (including mobile, cellular/wireless or similar devices) and/or email address you provide below, including by text (SMS), for which your telecommunications carrier may charge data usage fees (including additional charges when roaming).",ብግልጺ ክቕበልዎምን ክሰማምዕሎምን በዚ ኣብ ታሕቲ ዝሃብዎ ቁጽሪ ተሌፎን (ሞባይል፣ ሞባይል/ገመድ ኣልቦ ወይ ተመሳሰልቲ መሳርሒታት ሓዊስካ) ከምኡ’ውን/ወይ ኢመይል ኣድራሻ፣ እንተላይ ብጽሑፍ (SMS)፣ ንዕኡ ድማ ቴሌኮሙኒኬሽኖም ዝሓዘ ክፍሊት ኣጠቓቕማ ሓበሬታ ክሓትት ይኽእል ( ሮሚንግ ኣብ ዝግበረሉ እዋን ተወሳኺ ክፍሊት ሓዊሱ)።,medical
106,Please contact your wireless carrier for complete pricing details.,ንምሉእ ዝርዝራዊ ዋጋታት ንምፍላጥ፣ በይዝኦም ምስ ናይ ገመድ ኣልቦ ኣገልግሎት ወሃቢኦም ርክብ ይግበሩ።,medical
107,"The ways in which we may contact you include live operator, automatic telephone dialing systems (auto-dialer), artificial or prerecorded message, text/SMS message, or email.",እቶም ክንረኽበኩም እንኽእለሉ መንገድታት፣ ቀጥታዊ ኦፕሬተር፣ ቕጽበታዊ ስርዓታት ምድዋል ቴሌፎን (auto-dialer)፣ ሰብ-ስራሕ ወይ ቅድሚኡ ዝተቐድሐ መልእኽቲ፣ መልእኽቲ ጽሑፍ/ SMS፣ ወይ ኢመይል ይርከብዎም።,medical
108,"By providing your phone number and/or email to us without conditions, whether directly or through an intermediary, verbally, electronically, or in writing Providers may contact you by phone (described above), text (SMS), and/or email communications to perform your medical care and services related to your medical care, such as appointment reminders, education, patient experience and care inquiries, and billing services, including for purposes of collecting moneys due from you.",ቁጽሪ ተሌፎኖምን/ወይ ኢመይሎምን ብዘይ ቅድመ ኩነት ብምሃብ፣ ብቐጥታ ይኹን ብመንገዲ መንጎኛ፣ ብቓል፣ ብኤሌክትሮኒካዊ ወይ ብጽሑፍ ወሃብቲ ኣገልግሎት ብተሌፎን (ኣብ ላዕሊ ተገሊጹ ዘሎ)፣ ብጽሑፍ (SMS)፣ ከምኡ’ውን/ወይ ብኢመይል ርክባት ናብ ሕክምናዊ ማእኸሎምን ምስ ሕክምናዊ ማእኸሎም ዝተኣሳሰሩ ኣገልግሎታትን፣ ከም መዘኻኸሪ ቆጸራ፣ ትምህርቲ፣ ተመኩሮ ሕሙማትን ሕቶታት ክንክንን፣ ከምኡ’ውን ኣገልግሎታት ሕሳብ ምኽፋል፣ እንተላይ ንዕላማታት ካብኦም ዝኽፈል ገንዘብ ንምእካብ ምፍጻም።,medical
109,"By signing below, you agree that we may call your phone (described above), text (SMS), and/or send email communications for marketing or solicitation about Providers’ or our third-party partners’ products and services related to medical care that we think would be of interest to you, including for research recruitment purposes by the Hospital and Indiana University.",ኣብ ታሕቲ ብምፍራም፣ ብዛዕባ ምስ ሕክምናዊ ክንክን ዝተኣሳሰር ውጽኢታትን ኣገልግሎታትን ወሃብቲ ኣገልግሎት ወይ ሳልሳይ ወገን መሻርኽትና ንዕዳጋ ወይ ምሕጽንታ ንስልኮም (ኣብ ላዕሊ ተገሊጹ ዘሎ)፣ ንጽሕፎም (SMS)፣ ከምኡ’ውን/ወይ ድማ ናይ ኢመይል ርክባት ክንሰድድ ከም እንኽእል ይሰማምዑ ንዕላማታት ምልመላ ምርምር ብ Hospital and Indiana University ሓዊሱ ንኦም ዝምስጦም ኢልና ንሓስብ።,medical
110,"You understand you are not required to sign or agree to enter this communications consent as a condition of purchasing any property, goods, or servlC9S.",ነዚ ናይ ርክባት ስምምዕ ከም ቅድመ ኩነት ዝኾነ ንብረት፣ ኣቑሑት ወይ ኣገልግሎት ንምዕዳግ ክፍርምዎ ወይ ከእትውዎ ከምዘይግደድ ይርድኡ።,medical
111,This agreement will remain in place unless you take steps to revoke your consent.,እዚ ስምምዕ እዚ ስምምዖም ንምስራዝ ስጉምቲ እንተዘይወሲዶም ኣብ ቦትኡ ክጸንሕ እዩ።,medical
112,"If you wish to do this, you should:",እዚ ክገብሩ እንተደሊዮም፣ ክገብርዎ ዝግባእ፦,medical
113,"(i) provide Providers with written notice revoking your prior consent, (ii) include your name, mailing address, and the last four digits of your account number; (iii) advise whether you would like communications to cease via phone all, text/SMS or email; (iv) provide the specific phone number(s) and email address; and (v) send the notice to Providers, Attention Customer Service, 250 N. Shadeland Ave., Indianapolis, Indiana 46219.",(i) ንወሃብቲ ኣገልግሎት ኣቐዲሞም ዝገበርዎ ስምምዕ ዝስርዝ ናይ ጽሑፍ ምልክታ ምሃብ፣ (ii) ስሞም፣ ናይ ፖስታ ኣድራሽኦምን ናይ መወዳእታ ኣርባዕተ ኣሃዛት ቁጽሪ ሕሳቦምን የካትቱ፤ (iii) ብተሌፎን፣ ብጽሑፍ/SMS ወይ ብኢመይል ዝግበር ርክባት ደው ክብል ይደልዩ እንተኾይኖም ምኽሪ ምሃብ፤ (iv) እቲ ፍሉይ ቁጽሪ ተሌፎን(ታት)ን ኢመይል ኣድራሻን ምሃብ፤ ከምኡ’ውን (v) ነቲ ምልክታ ናብ ወሃብቲ ኣገልግሎት፣ ኣቓልቦ ኣገልግሎት ዓማዊል፣ 250 N. Shadeland Ave.፣ Indianapolis፣ Indiana 46219 ስደድዎ።,medical
114,I AGREE WITH THE ABOVE COMMUNICATIONS CONSENT:,ምስዚ ኣብ ላዕሊ ዘሎ ስምምዕ ርክባት እሰማማዕ፦,medical
115,YES NO,እወ ኣይኮነን,medical
116,DATE/TIME,ዕለት/ሰዓት,medical
117,PHONE NUMBER,ቁጽሪ ተሌፎን,medical
118,**Please see following for IMPORTANT NOTICES”,**በይዘኦም ንዝስዕቡ ኣገደስቲ ምልክታታት ይር አዩ”,medical
119,ATTENTION:,የስተውዕሉ፦,medical
120,Please read entire form before signing.,ቅድሚ ምፍራሞም በይዘኦም ምሉእ ቅጥዒ የንብብዎ።,medical
121,Changes will not be accepted on this form.,ኣብዚ ቅጥዒ ለውጢታት ተቐባልነት ኣይህልዎን።,medical
122,"By signing this, I agree that I have read everything in this Consent and agree that everything in this Consent will apply to current and future health care services provided by Providers.",ነዚ ብምፍራም፣ ኣብዚ ስምምዕ ዘሎ ኩሉ ከም ዘንበብክዎን ኩሉ ኣብዚ ስምምዕ ዘሎ ብወሃብቲ ኣገልግሎት ዝወሃብ ህሉውን መጻእን ኣገልግሎት ክንክን ጥዕና ከም ዝምልከት እሰማማዕ።,medical
123,SIGNATURE OF PATIENT/LEGAL REPRESENTATIVE,ፊርማ ተሓካሚ/ሕጋዊ ወኪል,medical
124,DATE/TIME,ዕለት/ሰዓት,medical
125,RELATIONSHIP,ዝምድና,medical
126,SIGNATURE OF GUARANTOR (IF OTHER THAN PATIENT/LEGAL REPRESENTATIVE),ፊርማ ዋሕስ (ካብ ሕሙም/ሕጋዊ ወኪል ወጻኢ እንተኾይኑ),medical
127,DATE/TIME,ዕለት/ሰዓት,medical
128,RELATIONSHIP,ዝምድና,medical
129,GENERAL CONSENT FOR PROFESSIONAL/CLINIC,ሓፈሻዊ ስምምዕ ንበዓል ሞያ/ክሊኒክ,medical
130,136652 (10/10/2023),136652 (10/10/2023),medical
131,Page 1 of 2,ገጽ 1 ካብ 2,medical
132,GENERAL FINANCIAL,ሓፈሻዊ ቁጠባዊ,medical
133,CONSENT,ስምምዕ,medical
134,Y-2,Y-2,medical
135,RELEASE OF INFORMATION:,ሓበሬታ ምፍናው፦,medical
136,Current and/or previous providers may share your medical records to Providers to facilitate your health care.,ናይ ሕጂን/ወይ ቅድሚ ሕጂ ዘለዉን ወሃብቲ ኣገልግሎት፣ ንሕክምናዊ ክንክኖም ንምምችቻው መዛግብቲ ሕክምንኦም ንወሃብቲ ኣገልግሎት ከካፍልዎም ይኽእሉ።,medical
137,The Providers may use minimally necessary medical records for your health care.,እቶም ወሃብቲ ኣገልግሎት ንሕክምና ጥዕንኦም ብውሑድ ኣድለይቲ ዝኾኑ መዛግብቲ ሕክምና ክጥቀሙ ይኽእሉ።,medical
138,"Providers may share your minimally necessary medical information with family members and friends involved in your care to make decisions about your care, if you are unable to do so or give permission.",ወሃብቲ ኣገልግሎት ብዛዕባ ጥዕንኦም ውሳነታት ንምውሳን ምስ ኣባላት ስድራቤትን ኣብ ጥዕንኦም ዝነጥፉ ኣዕሩኽን ብውሑድ ኣድላዪ ዝኾነ ሕክምናዊ ሓበሬትኦም ከካፍልዎም ይኽእሉ እዮም፣ እንድሕር ንሶም ክገብርዎ ወይ ፍቓድ ክህቡ እንተዘይክኢሎም።,medical
139,"Providers may share your medical records to third-party payers, insurance companies, review agencies, employers, welfare departments, and third-party data service providers such as health information exchange programs.",ወሃብቲ ኣገልግሎት መዛግብቲ ሕክምንኦም ንሳልሳይ ወገን ከፈልቲ፣ ናይ መድሕን ኩባንያታት፣ ንናይ ግምገማ ትካላት፣ ኣስራሕቲ፣ ክፍልታት ድሕነት፣ ከምኡ’ውን ሳልሳይ ወገን ወሃብቲ ኣገልግሎት መረዳእታ ከም መደባት ምልውዋጥ ሓበሬታ ጥዕና ከካፍሉ ይኽእሉ።,medical
140,"You have the right to request a restriction of your health information by contacting Health Information Management, 1701 N Senate Blvd., Indianapolis, IN 46202.",ንHealth Information Management፣ 1701 N Senate Blvd.፣ Indianapolis፣ IN 46202 ብምርካብ ናይ ጥዕና ሓበሬታኦም ገደብ ናይ ምሕታት መሰል ኣለዎም።,medical
141,"At any time, you may change this by giving written notice to Providers.",ኣብ ዝኾነ እዋን፣ ንወሃብቲ ኣገልግሎት ብጽሑፍ ምልክታ ብምሃብ ነዚ ክቕይርዎ ይኽእሉ እዮም።,medical
142,HIPAA:,HIPAA፦,medical
143,Providers’ Notice of Privacy Practices has been given or made available.,ናይ ወሃብቲ ኣገልግሎት ምልክታ ናይ ብሕታዊነት ኣሰራርሓታት ተዋሂቡ ወይ ቅሩብ ተገይሩ ኣሎ።,medical
144,USE AND DISPOSAL OF BODY PARTS:,ኣጠቓቕማን ምውጋድን ክፍሊ ኣካላት፦,medical
145,"Providers are part of a research and teaching institution and are permitted to use body parts removed from procedure(s), including organs, tissue, bone, or bodily fluids, for these purposes.",ወሃብቲ ኣገልግሎት ኣካል ናይ ሓደ መጽናዕትን መምሃሪን ኣካል ኮይኖም፣ ካብ ኣገባብ (ባት) ዝተኣልዩ ክፍልታት ኣካላት፣ እንተላይ ኣካላት፣ ቲሹ፣ ዓጽሚ ወይ ፈሳሲ ኣካላት፣ ነዞም ዕላማታት ክጥቀሙ ይፍቀደሎም።,medical
146,"Your data and body parts will be treated carefully, so you cannot be identified, except as required by law.",ሓበሬትኦምን ክፍሊ ኣካላቶምን ብጥንቃቐ ክተሓዝ እዩ፣ ስለዚ መንነቶም ክፈልጥዎ ኣይኽእሉን እዮም፣ ብዘይካ ብሕጊ ዝድለ።,medical
147,You do not legally own your body parts after removal and have no rights to the research products from these parts.,ድሕሪ ምእላይ ክፍሊ ኣካላቶም ብሕጋዊ መንገዲ ኣይውንንዎን፣ ካብዞም ክፍልታት ድማ ንዝመጽእ ውጽኢት ምርምር መሰል የብሎምን።,medical
148,PICTURES AND RECORDINGS:,ስእልታትን መዛግብትን፦,medical
149,Audio and video recording of your care will be for Providers’ use only or as allowed by law.,ናይ ጥዕንኦም ድምጽን ቪድዮን ምምዝጋብ ንኣገልግሎት ወሃብቲ ጥቕሚ ጥራይ ወይ ብሕጊ ከም ዝፈቕዶ ክኸውን እዩ።,medical
150,You will be asked to sign a separate consent if recordings and pictures are used for other purposes.,መዛግብትን ስእልታትን ንኻልኦት ዕላማታት እንተተጠቒሞምሎም ፍሉይ ስምምዕ ክፍርሙ ክሕተቱ እዮም።,medical
151,You are not allowed to record or photograph without Providers’ prior consent.,ብዘይ ቅድመ ስምምዕ ናይ'ቶም ወሃብቲ ኣገልግሎት ክምዝግቡ ወይ ክስእሉ ኣይፍቀድን እዩ።,medical
152,INFECTIOUS DISEASE TESTING:,ምርመራ ተላባዒ ሕማም፦,medical
153,Providers test for infectious diseases.,ወሃብቲ ኣገልግሎት ተላባዕቲ ሕማማት ይምርምሩ።,medical
154,This may include hepatitis and human immunodeficiency virus (HIV).,እዚ ድማ ሕማም ጸላም ከብድን ቫይረስ ምጉዳል ምክልኻል ሕማም ሰብን (HIV) ከጠቓልል ይኽእል።,medical
155,These tests may be ordered by a Provider if one of your caregivers is exposed to your bodily fluid.,እዞም ምርመራታት እዚኣቶም ሓደ ካብ ኣለይቶም ንፈሳሲ ኣካላቶም እንተተቓሊዑ ብወሃቢ ኣገልግሎት ክእዘዙ ይኽእሉ።,medical
156,PERSONAL BELONGINGS:,ውልቃዊ  ንብረት፦,medical
157,"Providers are not liable for loss, theft, or damage of my personal belongings.",ወሃብቲ ኣገልግሎት ንውልቃዊ ንብረተይ ንዝጠፍአ፣ ስርቂ ወይ ዕንወት ተሓተትቲ ኣይኮኑን።,medical
158,"Providers want belongings of value sent home, but you can keep certain belongings with you AT YOUR OWN RISK AND AT YOUR OWN EXPENSE, AND NO ONE AT Providers CAN CHANGE THIS RISK.",ወሃብቲ ኣገልግሎት ዋጋ ዘለዎም ንብረታት ናብ ገዝኦም ክልእኹ ይደልዩ እዮም፣ ግን ገለ ንብረታት ኣብ ገዛእ ርእሶም ሓደጋን ብናይ ገዛእ ርእሶም ወጻኢን ክሕዙ ይኽእሉ እዮም፣ ከምኡ'ውን ኣብ ወሃብቲ ኣገልግሎት ዝኾነ ሰብ ነዚ ሓደጋ'ዚ ክቕይሮ ኣይክእልን እዩ።,medical
159,"Providers, including Providers' employees and agents, such as security, has the right to search any of your things on the premises, including purses and wallets, for the safety and welfare of its patients and visitors.",ወሃብቲ ኣገልግሎት፣ ንሰራሕተኛታትን ወከልትን ኣቕረብቲ ሓዊስካ፣ ከም ጸጥታ፣ ንውሕስነትን ድሕነትን ሕሙማቱን በጻሕቱን፣ ኣብቲ ቀጽሪ ዝርከብ ዝኾነ ይኹን ነገራትካ፣ እንተላይ ቦርሳን ዋሌትን፣ ናይ ምፍታሽ መሰል ኣለዎም።,medical
160,You can avoid having your things searched by leaving them at home or in a vehicle.,ኣብ ገዝኦም ወይ ኣብ መኪንኦም ብምግዳፍ ንብረቶም ካብ ምፍታሽ ከድሕኑ ይኽእሉ እዮም።,medical
161,"If Providers decides an item could be a threat to health or safety, Providers may provide for removal from the patient environment and appropriate storage.",ወሃብቲ ኣገልግሎት ሓደ ኣቕሓ ንሰብ ጥዕና ወይ ድሕነት ሓደገኛ ክኸውን ከምዝኽእል እንተድኣ ወሲኖም፣ ካብ ከባቢ ተሓካሚን ግቡእ መኽዘንን ክወጹን ብግቡእ ክሕከሙን ክገብሩ ይኽእሉ እዮም።,medical
162,REFERRALS:,ምምልካት፦,medical
163,Your provider may have referred you to an out of network provider for health care items or services.,ወሃቢ ኣገልግሎቶም ንኣቑሑት ክንክን ጥዕና ወይ ኣገልግሎታት ናብ ካብ መርበብ ወጻኢ ዝኾነ ኣቕራቢ ኣመልኪትዎም ክኸውን ይኽእል እዩ።,medical
164,An out of network provider is not bound by the payment provisions that apply to health care items or services rendered by a network provider under your health plan.,ካብ መርበብ ወጻኢ ዝኾነ ወሃቢ ኣገልግሎት በቲ ብመሰረት ውጥን ጥዕንኦም ብወሃቢ መርበብ ሓበሬታ ንዝወሃብ ኣቑሑት ክንክን ጥዕና ወይ ኣገልግሎታት ዝምልከት ናይ ክፍሊት ድንጋገታት ኣይቅየድን እዩ።,medical
165,You may contact your health plan before receiving health care items or services rendered by an out of network provider to obtain a list of network providers that may render the health care items or services and for additional assistance.,ቅድሚ ብሓደ ካብ መርበብ ወጻኢ ዝኾነ ወሃቢ ኣገልግሎት ክንክን ጥዕና ምቕባሎም ንመደብ ጥዕንኦም ክራኸቡ ይኽእሉ እዮም፣ ዝርዝር ናይቶም ነቲ ናይ ጥዕና ክንክን ኣቑሑት ወይ ኣገልግሎታት ክህቡ ዝኽእሉ ወሃብቲ መርበብ ንምርካብን ንተወሳኺ ሓገዝን።,medical
166,ESTIMATES:,ግምታት፦,medical
167,Patients can request an estimate for the cost of non-emergency medical services provided at Providers.,ተሓከምቲ ኣብ ወሃብቲ ኣገልግሎት ዝወሃብ ወጻኢታት ህጹጽ ዘይኮነ ሕክምናዊ ኣገልግሎታት ግምት ክሓቱ ይኽእሉ።,medical
168,"To request an estimate, an Estimates Team Member at 317.963.2541 or 833.722.6050 (toll free) or Estimates@IUHeaIth.org.",ግምት ንምሕታት፣ ሓደ ኣባል ጋንታ ግምታት ኣብ 317.963.2541 ወይ 833.722.6050 (ካብ ክፍሊት ነጻ) ወይ Estimates@IUHeaIth.org.,medical
169,Estimates@IUHeaIth.org,Estimates@IUHeaIth.org,medical
170,GENERAL CONSENT FOR PROFESSIONAL/CLINIC,ሓፈሻዊ ስምምዕ ንበዓል ሞያ/ክሊኒክ,medical
171,136652 (10/10/2023),136652 (10/10/2023),medical
172,Page 2 of 2,ገጽ 2 ካብ 2,medical
173,GENERAL FINANCIAL,ሓፈሻዊ ቁጠባዊ,medical
174,CONSENT,ስምምዕ,medical
175,Y-2,Y-2,medical
176,"All clients of Exodus Refugee Immigration, Inc. have the following rights:","ኩሎም ዓማዊል Exodus Refugee Immigration, Inc፣ እዞም ዝስዕቡ መሰላት ኣለውዎም፦",legal
177,"The right to self-determination in all your actions, including the right to consent to or refuse any services offered by Exodus","ንዓማዊል Exodus Refugee Immigration, Inc. ዝቐረቡ ኣብ ኩሎም ውሳነታቶም ብዓርሰ ፍቃድ ክውስኑ፣ ከምኡውን/ወይ ክዓ ፍቃዯኛታት ዝኾኑ መጣምርቶም ዘጠቐልል መሰል፤",legal
178,"Refugee Immigration, Inc. and/or their volunteer partners;",,legal
179,The right to be treated with respect in all interactions;  ,ኣብ ኩለ መዳይ ርክቦም ብኽብሪ ናይ ምትእንጋድ መሰል፤,legal
180,"The right to dignity, humane treatment and freedom from any form of abuse or exploitation; ",ክብሪ ናይ ምርካብ፣ ሰብኣዊ ርህራሄን ካብ ዝኾነ ይኹን ዓይነት መጥቃዕትን ወይ ብዝበዛ ናፃ ናይ መኻንን መሰላት ኣለዎም፤,legal
181,The right to privacy and confidentiality; ,ብሕቶም ኮይኖም ግዘ ናይ ምሕላፍን ምሽጥር ናይ ምዕቃብን መሰል፤,legal
182,The right to be provided with honest and truthful information; ,ቅኑዕን ሓቃውን ሓበሬታ ናይ ምርካብ መሰል፤,legal
183,"The right to access your personal information, including viewing your case file; ",ናይ ውልቂ ማህዯር  ናይ ምምልካትሓዊሱ፣ ግላዊ መረዳእታታት ናይ ምርካብ መሰል፤,legal
184,The right to have your identity and photo protected from public use without your signed consent;,ካብ ብፅሑፍ ዝቐረበ ናይ ስምምዕነት ውዕሊ ወፃኢ መንነትካን ምስልኻን ናብ ህዝቢ ንከይዝርጋሕ ናይ ምግባር መሰል፤,legal
185,The right to request to speak with a supervisor and/or file a grievance if you are unsatisfied with your services,ምስ መማኸሪኻ ናይ ምዝርራብ መሰል ከምኡ እውን/ወይ ድማ ብዝረኸብካዮ ግልጋሎት እንተዘይዓጊብካ ቅሬታ ናይ ምእታው መሰል,legal
186,"All volunteers and staff of Exodus Refugee Immigration, Inc. have the following rights:","ኩሎም ወለንተኛታትን ሰራሕተኛታት Exodus Refugee Immigration, Inc፣ እዞም ዝስዕቡ መሰላት ኣለውዎም፦",legal
187,The right to be treated with respect in all interactions; ,ኣብ ኩለ መዳይ ርክቦም ብኽብሪ ናይ ምትእንጋድ መሰል፤,legal
188,"The right to dignity, humane treatment and freedom from any form of abuse or exploitation; ",ክብሪ ናይ ምርካብ፣ ሰብኣዊ ርህራሄን ካብ ዝኾነ ይኹን ዓይነት መጥቃዕትን ወይ ብዝበዛ ናፃ ናይ መኻንን መሰላት ኣለዎም፤,legal
189,The right to be provided with honest and truthful information; ,ቅኑዕን ሓቃውን ሓበሬታ ናይ ምርካብ መሰል፤,legal
190,"If you feel your rights as a client of Exodus Refugee Immigration, Inc. have been violated, or if you are otherwise dissatisfied with your program participation, you may follow the following grievance procedure:","ከም  ዓማዊል ናይ Exodus Refugee Immigration, Inc መሰላትኩም ከም ዝተጣሕሰ እንተ ተሰሚዑኩም፣ ወይ ብኻልእ ኣገባብ ምስታፍኩም በቲ መደብ ዘይዕጉባት እንተ ኾይንኩም፣ ነዚ ዝስዕብ ናይ ጥርዓን መስርሕ ክትስዕቡ ትኽእሉ ኢኹም፦",legal
191,"Present the matter directly to a staff member either in person, in writing or by telephone.",ነቲ ጉዳይ ብቐጥታ ናብ ሓደ ሰራሕተኛ  ብኣካል፣ ብጽሑፍ ወይ ብተሌፎን ኣቕርብዎ።,legal
192,If comfortable discuss your concerns directly with the staff member involved in the grievance.,ምቹው   እንተኾይኑ ምስቲ  ኣብቲ ጥርዓን ዝሳተፍ ኣባል ሰራሕተኛታት ብቐጥታ ተዘራረቡ።,legal
193,"You may request an interpreter or provide an interpreter, as needed.",ከም ኣድላይነቱ፣  ተርጓሚ   ክትሓቱን ወይ ተርጓሚ  ክታቕርቡን ትኽእሉ ኢኹም።,legal
194,You may also request an alternative interpreter if you are uncomfortable with the assigned interpreter.,ምስቲ  ዝተመደበ ተርጓሚ  ምቾት እንተዘይብልኩም  ኣማራጺ ተርጓሚ   እውን ክትሓቱ ትኽእሉ ኢኹም።,legal
195,Contact the office director to discuss your experience. ,ተመኩሮኹም  ንምዝርራብ ምስ ሓላፊ ቤት ጽሕፈት ርክብ ግበሩ።,legal
196,"This may be done in person, in writing or by telephone.",እዚ ብኣካል፣ ብጽሑፍ ወይ ብተሌፎን ክግበር ይከኣል እዩ።,legal
197,You may request an interpreter or provide your own as needed.,ኣስተርጓሚ  ክትሓቱ ወይ ከከም ኣድላይነቱ  ናይ ባዕልኩም ኣስተርጓሚ  ከተቕርቡ ትኽእሉ ኢኹም።,legal
198,You have the right to request an alternative interpreter if you are uncomfortable with the assigned interpreter.,ምስ'ቲ ዝተመደበልኩም ኣስተርጓሚ  ምቾት እንተ ዘይብልኩም ካልእ ኣስተርጓሚ  ክትሓቱ መሰል ኣሎኩም።,legal
199,"If you are dissatisfied with the actions taken in response to your grievance, you have the right to contact the national headquarters of Church World Service to file a grievance. ",ንጥርዓንኩም  ምላሽ ንምሃብ  ብዝተወስደ ስጉምቲ ዘይዕጉባት እንተኾይንኩም፣ ጥርዓን ንምቕራብ ን ሃገራዊ ዋና ቤት ጽሕፈት ኣገልግሎት ቤተ ክርስቲያን ዓለም  ክትረኽብዎም መሰል ኣለኩም። ,legal
200,Contact information:,ናይ ርክብ ሓበሬታ፦,legal
201,"For individuals enrolled in Office of Refugee Resettlement (ORR) programs, if you are dissatisfied with the actions taken in response to your grievance, you also have the right to contact the Office of Refugee Resettlement (ORR):",ኣብ መደባት ቤት ጽሕፈት ዳግመ-ምጥያሽ ስደተኛታት (ORR) ንዝተመዝገቡ ውልቀሰባት፣ በቲ ንጥርዓንኩም  ምላሽ ንምሃብ ዝተወሰደ ስጉምቲ እንተዘዓጊብኩም፣ ምስ ቤት ጽሕፈት ዳግመ-ምጥያሽ ስደተኛታት (ORR) ናይ ምርካብ መሰል’ውን ኣለኩም፦,legal
202,Seattle Preschool Program 2025-26 Tuition Payment Guidelines,ፕሮግራም ቅድመ ትምህርቲ Seattle 2025-26 መምርሒ ክፍሊት ትምህርቲ,legal
203,Tuition Payment Policies,ፖሊሲታት ክፍሊት ትምህርቲ,legal
204,Tuition covers the 6-hours/day of SPP programming only; it does NOT cover childcare costs outside of regular school hours or scheduled school days.,ክፍሊት ትምህርቲ ን6 ሰዓታት/መዓልቲ ናይ SPP ፕሮግራም ጥራይ ዝሽፍን እዩ፤ ካብ ስሩዕ ናይ ትምህርቲ ሰዓታት ወይ ዝተመደበ ናይ ትምህርቲ መዓልታት ወጻኢ ንዝወጽእ ወጻኢታት ክንክን ህጻናት ኣይሽፍንን እዩ።,legal
205,Please see the sample schedule below for more details.,ንዝያዳ ዝርዝር ሓበሬታ ኣብ ታሕቲ ዘሎ ናሙና መደብ ርኣዩ።,legal
206,SPP billing will begin in October; families will not be billed SPP Tuition during September.,ናይ SPP ሕሳብ ምኽፋል ኣብ ወርሒ  ኦክቶበር ክጅምር እዩ፤ ስድራቤታት ኣብ ወርሒ ሴፕተምበር ናይ SPP ክፍሊት ኣይክኽፈሎምን እዩ።,legal
207,"Tuition will <1>not</1> be prorated due to regular student absences or typical agency closures (breaks, snow days).",ብሰንኪ ስሩዕ ምቁራጽ ተምሃሮ ወይ ልሙድ ,legal
208,,ምዕጻው ትካላት (ዕረፍቲ፣ መዓልታት በረድ) ክፍሊት ትምህርቲ <1>ኣይኮነን</1>ብመጠኑ ኣይክኸውንን እዩ።,legal
209,June tuition invoices will not be pro-rated regardless of start/exit dates.,ናይ ጁን ክፍሊት ትምህርቲ ኢንቮይስ ምጅማር/ምውጻእ መዓልታት ብዘየገድስ ምስትኽኻል ኣይግበርን እዩ።,legal
210,Further information about pro-rating can be found in the <1>Tuition Adjustments</1> section.,ተወሳኺ ሓበሬታ ብዛዕባ ምስትኽኻል  ኣብ <1>ምትዕርራይ ክፍሊት</1> ዝብል ክፍሊ ክትረኽቡ ትኽእሉ ኢኹም።,legal
211,Monthly tuition bills will be sent to the primary email on file beginning September 2025.,ወርሓዊ ክፍሊት ትምህርቲ ካብ ሴፕተምበር 2025 ዓ.ም ጀሚሩ ናብቲ ኣብ ፋይል ዘሎ ዋና ኢመይል ክለኣኽ እዩ::,legal
212,DEEL offers a 10% discount for each additional sibling enrolled in SPP.,DEEL ንነፍሲ ​​ወከፍ ኣብ SPP ዝተመዝገበ ተወሳኺ ሓው ወይ ሓፍቲ 10 ሚኢታዊ ቅናስ ይህብ።,legal
213,Billing Schedule,መደብ ሕሳብ ምኽፋል,legal
214,Invoice month,ወርሓዊ ኢንቮይስ ዝለኣኸሉ,legal
215,Sep,ሴፕቴምበር,legal
216,Oct,ኦክቶበር,legal
217,Nov,ኖቬምበር,legal
218,Dec,ዲሴምበር,legal
219,Jan,ጃኑዋሪ,legal
220,Feb,ፌብሯሪ,legal
221,Mar,ማርች,legal
222,Apr,ኤፕሪል,legal
223,May,ሜይ,legal
224,Jun,ጁን,legal
225,Cut-off Date to,ምቁራጽ ዕለት ናብ,legal
226,Report Changes,ለውጢታት ሪፖርት,legal
227,No Bills sent,ዝኾነ ሒሳብ ዝተላእከ የለን,legal
228,10/3/2025,10/3/2025,legal
