id,english,tigrinya,domain,tokenized_english,tokenized_tigrinya,eng_length,tir_length
95,"I understand any over-payments, deposits, and/or credits may be applied to any other outstanding account balances with IU Health prior to receiving a refund.",ዝኾነ ልዕሊ ዓቐን ክፍሊት፣ ተቐማጢ ገንዘብን/ወይ ልቓሕን ቅድሚ ምምላስ ገንዘብ ምቕባሉ ኣብ ዝኾነ ካልእ ዝተረፈ ናይ ሕሳብ መጠን ምስ IU Health ክውዕል ከምዝኽእል እርዳእ።,medical,"['I understand any over-payments, deposits, and/or credits may be applied to any other outstanding account balances with IU Health prior to receiving a refund.']",['ዝኾነ ልዕሊ ዓቐን ክፍሊት፣ ተቐማጢ ገንዘብን/ወይ ልቓሕን ቅድሚ ምምላስ ገንዘብ ምቕባሉ ኣብ ዝኾነ ካልእ ዝተረፈ ናይ ሕሳብ መጠን ምስ IU Health ክውዕል ከምዝኽእል እርዳእ።'],24,24
97,Patient's payer identification card is for informational purposes only.,ናይ ተሓካሚ ከፋሊ መለለዪ ካርዲ ንሓበሬታ ዝዓለመ ጥራይ እዩ።,medical,"[""Patient's payer identification card is for informational purposes only.""]",['ናይ ተሓካሚ ከፋሊ መለለዪ ካርዲ ንሓበሬታ ዝዓለመ ጥራይ እዩ።'],9,9
98,Contracts for payment and reimbursement must be agreed to in writing by both payer and the Hospital.,ናይ ክፍሊትን ምምላስን ውዕላት ብኽልቲኦም ከፋልን ሆስፒታልን ብጽሑፍ ክሰማማዕ ኣለዎ።,medical,['Contracts for payment and reimbursement must be agreed to in writing by both payer and the Hospital.'],['ናይ ክፍሊትን ምምላስን ውዕላት ብኽልቲኦም ከፋልን ሆስፒታልን ብጽሑፍ ክሰማማዕ ኣለዎ።'],17,10
99,Any attempt to establish a contract or vary the terms of a contract with provisions contained on a patient's payer identification card is disclaimed and rejected.,ዝኾነ ይኹን ፈተነ ውዕል ንምምስራት ወይ ምቕያር ውዕል ኣብ መለለዪ ከፋሊ ሕሙም ዝርከብ ድንጋገታት ዝሓዘ ካርዲ ተቐባልነት ዘይብሉን ዝተነጽገን እዩ።,medical,"[""Any attempt to establish a contract or vary the terms of a contract with provisions contained on a patient's payer identification card is disclaimed and rejected.""]",['ዝኾነ ይኹን ፈተነ ውዕል ንምምስራት ወይ ምቕያር ውዕል ኣብ መለለዪ ከፋሊ ሕሙም ዝርከብ ድንጋገታት ዝሓዘ ካርዲ ተቐባልነት ዘይብሉን ዝተነጽገን እዩ።'],26,20
100,INDIANA LAW AND JURISDICTION:,ሕግን ስልጣንን INDIANA፦,medical,['INDIANA LAW AND JURISDICTION:'],['ሕግን ስልጣንን INDIANA፦'],4,3
101,"I understand that I am receiving care from an Indiana health care system. Agree that if I choose to raise a dispute related to my care or billing, the case must be filed in an Indiana court, and I agree Indiana law will apply.",ካብ ስርዓተ ክንክን ጥዕና Indiana ሕክምና ይረክብ ከም ዘለኹ እርዳእ። ምስ ሕክምናይ ወይ ሕሳበይ ዝተኣሳሰር ክርክር ከልዕል እንተመሪጸ፣ እቲ ጉዳይ ኣብ ቤት ፍርዲ Indiana ክቐርብ ከም ዘለዎ እሰማማዕ፣ ሕጊ Indiana ድማ ከም ዝሰርሕ እሰማማዕ።,medical,"['I understand that I am receiving care from an Indiana health care system', 'Agree that if I choose to raise a dispute related to my care or billing, the case must be filed in an Indiana court, and I agree Indiana law will apply.']","['ካብ ስርዓተ ክንክን ጥዕና Indiana ሕክምና ይረክብ ከም ዘለኹ እርዳእ', 'ምስ ሕክምናይ ወይ ሕሳበይ ዝተኣሳሰር ክርክር ከልዕል እንተመሪጸ፣ እቲ ጉዳይ ኣብ ቤት ፍርዲ Indiana ክቐርብ ከም ዘለዎ እሰማማዕ፣ ሕጊ Indiana ድማ ከም ዝሰርሕ እሰማማዕ።']",44,34
103,"You expressly consent and agree that Providers may use health information about your medical care for a range of purposes, including billing and collecting moneys due from you.",እቶም ወሃብቲ ኣገልግሎት ብዛዕባኹም ሕክምናዊ ክንክን ዝምልከት ናይ ጥዕና ሓበሬታ ንብዙሕ ዕላማታት ክጥቀሙ ከም ዝኽእሉ ብግልጺ ክቕበልዎምን ክሰማምዕሎምን እዮም፣ እዚ ድማ ካብ ናቶም ዝኽፈል ገንዘብ ምኽፋልን ምእካብን የጠቓልል።,medical,"['You expressly consent and agree that Providers may use health information about your medical care for a range of purposes, including billing and collecting moneys due from you.']",['እቶም ወሃብቲ ኣገልግሎት ብዛዕባኹም ሕክምናዊ ክንክን ዝምልከት ናይ ጥዕና ሓበሬታ ንብዙሕ ዕላማታት ክጥቀሙ ከም ዝኽእሉ ብግልጺ ክቕበልዎምን ክሰማምዕሎምን እዮም፣ እዚ ድማ ካብ ናቶም ዝኽፈል ገንዘብ ምኽፋልን ምእካብን የጠቓልል።'],28,28
104,"Providers' employees, business associates, and other third parties acting on its behalf may contact you with information relating to your care, including: appointment reminders; scheduling or registration; alerts about preventative services and other treatment options; information regarding insurance, billing, eligibility, and/or collections; health-related promotional information that might be of interest to you; or other reminders and alerts that may be helpful in coordinating/continuing your health care.",ሰራሕተኛታት ወሃብቲ ኣገልግሎት፣ ናይ ንግዲ መሻርኽቶም፣ ከምኡ’ውን ካልኦት ብሽሞም ዝንቀሳቐሱ ሳልሳይ ወገናት ምስ ናቶም ክንክን ዝዛመድ ሓበሬታ ከቕርብሎም ይኽእሉ፣ እንተላይ፣ መዘኻኸሪታት ቆጸራ፣ መደብ ወይ ምዝገባ፣ መጠንቀቕታታት ብዛዕባ መከላኸሊ ኣገልግሎታትን ካልኦት ናይ ሕክምና ኣማራጺታትን፣ ሓበሬታ ብዛዕባ ውሕስነት፣ ክፍሊት፣ ብቕዓት፣ ወይ ድማ ምእካብ፣ ምስ ጥዕና ዝተኣሳሰር ንኦም ዝምልከት ሓበሬታ፣ ወይ ካልእ ኣብ ምምሕዳር/ምቕጻል ናይ ክንክን ጥዕንኦም ሓጋዚ ክኸውን ዝኽእል መዘኻኸሪታትን መጠንቀቕታታትን።,medical,"[""Providers' employees, business associates, and other third parties acting on its behalf may contact you with information relating to your care, including: appointment reminders; scheduling or registration; alerts about preventative services and other treatment options; information regarding insurance, billing, eligibility, and/or collections; health-related promotional information that might be of interest to you; or other reminders and alerts that may be helpful in coordinating/continuing your health care.""]",['ሰራሕተኛታት ወሃብቲ ኣገልግሎት፣ ናይ ንግዲ መሻርኽቶም፣ ከምኡ’ውን ካልኦት ብሽሞም ዝንቀሳቐሱ ሳልሳይ ወገናት ምስ ናቶም ክንክን ዝዛመድ ሓበሬታ ከቕርብሎም ይኽእሉ፣ እንተላይ፣ መዘኻኸሪታት ቆጸራ፣ መደብ ወይ ምዝገባ፣ መጠንቀቕታታት ብዛዕባ መከላኸሊ ኣገልግሎታትን ካልኦት ናይ ሕክምና ኣማራጺታትን፣ ሓበሬታ ብዛዕባ ውሕስነት፣ ክፍሊት፣ ብቕዓት፣ ወይ ድማ ምእካብ፣ ምስ ጥዕና ዝተኣሳሰር ንኦም ዝምልከት ሓበሬታ፣ ወይ ካልእ ኣብ ምምሕዳር/ምቕጻል ናይ ክንክን ጥዕንኦም ሓጋዚ ክኸውን ዝኽእል መዘኻኸሪታትን መጠንቀቕታታትን።'],66,59
105,"You expressly consent and agree to be contacted at the phone number (including mobile, cellular/wireless or similar devices) and/or email address you provide below, including by text (SMS), for which your telecommunications carrier may charge data usage fees (including additional charges when roaming).",ብግልጺ ክቕበልዎምን ክሰማምዕሎምን በዚ ኣብ ታሕቲ ዝሃብዎ ቁጽሪ ተሌፎን (ሞባይል፣ ሞባይል/ገመድ ኣልቦ ወይ ተመሳሰልቲ መሳርሒታት ሓዊስካ) ከምኡ’ውን/ወይ ኢመይል ኣድራሻ፣ እንተላይ ብጽሑፍ (SMS)፣ ንዕኡ ድማ ቴሌኮሙኒኬሽኖም ዝሓዘ ክፍሊት ኣጠቓቕማ ሓበሬታ ክሓትት ይኽእል ( ሮሚንግ ኣብ ዝግበረሉ እዋን ተወሳኺ ክፍሊት ሓዊሱ)።,medical,"['You expressly consent and agree to be contacted at the phone number (including mobile, cellular/wireless or similar devices) and/or email address you provide below, including by text (SMS), for which your telecommunications carrier may charge data usage fees (including additional charges when roaming).']",['ብግልጺ ክቕበልዎምን ክሰማምዕሎምን በዚ ኣብ ታሕቲ ዝሃብዎ ቁጽሪ ተሌፎን (ሞባይል፣ ሞባይል/ገመድ ኣልቦ ወይ ተመሳሰልቲ መሳርሒታት ሓዊስካ) ከምኡ’ውን/ወይ ኢመይል ኣድራሻ፣ እንተላይ ብጽሑፍ (SMS)፣ ንዕኡ ድማ ቴሌኮሙኒኬሽኖም ዝሓዘ ክፍሊት ኣጠቓቕማ ሓበሬታ ክሓትት ይኽእል ( ሮሚንግ ኣብ ዝግበረሉ እዋን ተወሳኺ ክፍሊት ሓዊሱ)።'],43,39
106,Please contact your wireless carrier for complete pricing details.,ንምሉእ ዝርዝራዊ ዋጋታት ንምፍላጥ፣ በይዝኦም ምስ ናይ ገመድ ኣልቦ ኣገልግሎት ወሃቢኦም ርክብ ይግበሩ።,medical,['Please contact your wireless carrier for complete pricing details.'],['ንምሉእ ዝርዝራዊ ዋጋታት ንምፍላጥ፣ በይዝኦም ምስ ናይ ገመድ ኣልቦ ኣገልግሎት ወሃቢኦም ርክብ ይግበሩ።'],9,13
107,"The ways in which we may contact you include live operator, automatic telephone dialing systems (auto-dialer), artificial or prerecorded message, text/SMS message, or email.",እቶም ክንረኽበኩም እንኽእለሉ መንገድታት፣ ቀጥታዊ ኦፕሬተር፣ ቕጽበታዊ ስርዓታት ምድዋል ቴሌፎን (auto-dialer)፣ ሰብ-ስራሕ ወይ ቅድሚኡ ዝተቐድሐ መልእኽቲ፣ መልእኽቲ ጽሑፍ/ SMS፣ ወይ ኢመይል ይርከብዎም።,medical,"['The ways in which we may contact you include live operator, automatic telephone dialing systems (auto-dialer), artificial or prerecorded message, text/SMS message, or email.']",['እቶም ክንረኽበኩም እንኽእለሉ መንገድታት፣ ቀጥታዊ ኦፕሬተር፣ ቕጽበታዊ ስርዓታት ምድዋል ቴሌፎን (auto-dialer)፣ ሰብ-ስራሕ ወይ ቅድሚኡ ዝተቐድሐ መልእኽቲ፣ መልእኽቲ ጽሑፍ/ SMS፣ ወይ ኢመይል ይርከብዎም።'],24,22
108,"By providing your phone number and/or email to us without conditions, whether directly or through an intermediary, verbally, electronically, or in writing Providers may contact you by phone (described above), text (SMS), and/or email communications to perform your medical care and services related to your medical care, such as appointment reminders, education, patient experience and care inquiries, and billing services, including for purposes of collecting moneys due from you.",ቁጽሪ ተሌፎኖምን/ወይ ኢመይሎምን ብዘይ ቅድመ ኩነት ብምሃብ፣ ብቐጥታ ይኹን ብመንገዲ መንጎኛ፣ ብቓል፣ ብኤሌክትሮኒካዊ ወይ ብጽሑፍ ወሃብቲ ኣገልግሎት ብተሌፎን (ኣብ ላዕሊ ተገሊጹ ዘሎ)፣ ብጽሑፍ (SMS)፣ ከምኡ’ውን/ወይ ብኢመይል ርክባት ናብ ሕክምናዊ ማእኸሎምን ምስ ሕክምናዊ ማእኸሎም ዝተኣሳሰሩ ኣገልግሎታትን፣ ከም መዘኻኸሪ ቆጸራ፣ ትምህርቲ፣ ተመኩሮ ሕሙማትን ሕቶታት ክንክንን፣ ከምኡ’ውን ኣገልግሎታት ሕሳብ ምኽፋል፣ እንተላይ ንዕላማታት ካብኦም ዝኽፈል ገንዘብ ንምእካብ ምፍጻም።,medical,"['By providing your phone number and/or email to us without conditions, whether directly or through an intermediary, verbally, electronically, or in writing Providers may contact you by phone (described above), text (SMS), and/or email communications to perform your medical care and services related to your medical care, such as appointment reminders, education, patient experience and care inquiries, and billing services, including for purposes of collecting moneys due from you.']",['ቁጽሪ ተሌፎኖምን/ወይ ኢመይሎምን ብዘይ ቅድመ ኩነት ብምሃብ፣ ብቐጥታ ይኹን ብመንገዲ መንጎኛ፣ ብቓል፣ ብኤሌክትሮኒካዊ ወይ ብጽሑፍ ወሃብቲ ኣገልግሎት ብተሌፎን (ኣብ ላዕሊ ተገሊጹ ዘሎ)፣ ብጽሑፍ (SMS)፣ ከምኡ’ውን/ወይ ብኢመይል ርክባት ናብ ሕክምናዊ ማእኸሎምን ምስ ሕክምናዊ ማእኸሎም ዝተኣሳሰሩ ኣገልግሎታትን፣ ከም መዘኻኸሪ ቆጸራ፣ ትምህርቲ፣ ተመኩሮ ሕሙማትን ሕቶታት ክንክንን፣ ከምኡ’ውን ኣገልግሎታት ሕሳብ ምኽፋል፣ እንተላይ ንዕላማታት ካብኦም ዝኽፈል ገንዘብ ንምእካብ ምፍጻም።'],69,54
109,"By signing below, you agree that we may call your phone (described above), text (SMS), and/or send email communications for marketing or solicitation about Providers’ or our third-party partners’ products and services related to medical care that we think would be of interest to you, including for research recruitment purposes by the Hospital and Indiana University.",ኣብ ታሕቲ ብምፍራም፣ ብዛዕባ ምስ ሕክምናዊ ክንክን ዝተኣሳሰር ውጽኢታትን ኣገልግሎታትን ወሃብቲ ኣገልግሎት ወይ ሳልሳይ ወገን መሻርኽትና ንዕዳጋ ወይ ምሕጽንታ ንስልኮም (ኣብ ላዕሊ ተገሊጹ ዘሎ)፣ ንጽሕፎም (SMS)፣ ከምኡ’ውን/ወይ ድማ ናይ ኢመይል ርክባት ክንሰድድ ከም እንኽእል ይሰማምዑ ንዕላማታት ምልመላ ምርምር ብ Hospital and Indiana University ሓዊሱ ንኦም ዝምስጦም ኢልና ንሓስብ።,medical,"['By signing below, you agree that we may call your phone (described above), text (SMS), and/or send email communications for marketing or solicitation about Providers’ or our third-party partners’ products and services related to medical care that we think would be of interest to you, including for research recruitment purposes by the Hospital and Indiana University.']",['ኣብ ታሕቲ ብምፍራም፣ ብዛዕባ ምስ ሕክምናዊ ክንክን ዝተኣሳሰር ውጽኢታትን ኣገልግሎታትን ወሃብቲ ኣገልግሎት ወይ ሳልሳይ ወገን መሻርኽትና ንዕዳጋ ወይ ምሕጽንታ ንስልኮም (ኣብ ላዕሊ ተገሊጹ ዘሎ)፣ ንጽሕፎም (SMS)፣ ከምኡ’ውን/ወይ ድማ ናይ ኢመይል ርክባት ክንሰድድ ከም እንኽእል ይሰማምዑ ንዕላማታት ምልመላ ምርምር ብ Hospital and Indiana University ሓዊሱ ንኦም ዝምስጦም ኢልና ንሓስብ።'],56,48
110,"You understand you are not required to sign or agree to enter this communications consent as a condition of purchasing any property, goods, or servlC9S.",ነዚ ናይ ርክባት ስምምዕ ከም ቅድመ ኩነት ዝኾነ ንብረት፣ ኣቑሑት ወይ ኣገልግሎት ንምዕዳግ ክፍርምዎ ወይ ከእትውዎ ከምዘይግደድ ይርድኡ።,medical,"['You understand you are not required to sign or agree to enter this communications consent as a condition of purchasing any property, goods, or servlC9S.']",['ነዚ ናይ ርክባት ስምምዕ ከም ቅድመ ኩነት ዝኾነ ንብረት፣ ኣቑሑት ወይ ኣገልግሎት ንምዕዳግ ክፍርምዎ ወይ ከእትውዎ ከምዘይግደድ ይርድኡ።'],25,18
111,This agreement will remain in place unless you take steps to revoke your consent.,እዚ ስምምዕ እዚ ስምምዖም ንምስራዝ ስጉምቲ እንተዘይወሲዶም ኣብ ቦትኡ ክጸንሕ እዩ።,medical,['This agreement will remain in place unless you take steps to revoke your consent.'],['እዚ ስምምዕ እዚ ስምምዖም ንምስራዝ ስጉምቲ እንተዘይወሲዶም ኣብ ቦትኡ ክጸንሕ እዩ።'],14,11
112,"If you wish to do this, you should:",እዚ ክገብሩ እንተደሊዮም፣ ክገብርዎ ዝግባእ፦,medical,"['If you wish to do this, you should:']",['እዚ ክገብሩ እንተደሊዮም፣ ክገብርዎ ዝግባእ፦'],8,5
113,"(i) provide Providers with written notice revoking your prior consent, (ii) include your name, mailing address, and the last four digits of your account number; (iii) advise whether you would like communications to cease via phone all, text/SMS or email; (iv) provide the specific phone number(s) and email address; and (v) send the notice to Providers, Attention Customer Service, 250 N. Shadeland Ave., Indianapolis, Indiana 46219.",(i) ንወሃብቲ ኣገልግሎት ኣቐዲሞም ዝገበርዎ ስምምዕ ዝስርዝ ናይ ጽሑፍ ምልክታ ምሃብ፣ (ii) ስሞም፣ ናይ ፖስታ ኣድራሽኦምን ናይ መወዳእታ ኣርባዕተ ኣሃዛት ቁጽሪ ሕሳቦምን የካትቱ፤ (iii) ብተሌፎን፣ ብጽሑፍ/SMS ወይ ብኢመይል ዝግበር ርክባት ደው ክብል ይደልዩ እንተኾይኖም ምኽሪ ምሃብ፤ (iv) እቲ ፍሉይ ቁጽሪ ተሌፎን(ታት)ን ኢመይል ኣድራሻን ምሃብ፤ ከምኡ’ውን (v) ነቲ ምልክታ ናብ ወሃብቲ ኣገልግሎት፣ ኣቓልቦ ኣገልግሎት ዓማዊል፣ 250 N. Shadeland Ave.፣ Indianapolis፣ Indiana 46219 ስደድዎ።,medical,"['(i) provide Providers with written notice revoking your prior consent, (ii) include your name, mailing address, and the last four digits of your account number; (iii) advise whether you would like communications to cease via phone all, text/SMS or email; (iv) provide the specific phone number(s) and email address; and (v) send the notice to Providers, Attention Customer Service, 250 N', 'Shadeland Ave., Indianapolis, Indiana 46219.']",['(i) ንወሃብቲ ኣገልግሎት ኣቐዲሞም ዝገበርዎ ስምምዕ ዝስርዝ ናይ ጽሑፍ ምልክታ ምሃብ፣ (ii) ስሞም፣ ናይ ፖስታ ኣድራሽኦምን ናይ መወዳእታ ኣርባዕተ ኣሃዛት ቁጽሪ ሕሳቦምን የካትቱ፤ (iii) ብተሌፎን፣ ብጽሑፍ/SMS ወይ ብኢመይል ዝግበር ርክባት ደው ክብል ይደልዩ እንተኾይኖም ምኽሪ ምሃብ፤ (iv) እቲ ፍሉይ ቁጽሪ ተሌፎን(ታት)ን ኢመይል ኣድራሻን ምሃብ፤ ከምኡ’ውን (v) ነቲ ምልክታ ናብ ወሃብቲ ኣገልግሎት፣ ኣቓልቦ ኣገልግሎት ዓማዊል፣ 250 N. Shadeland Ave.፣ Indianapolis፣ Indiana 46219 ስደድዎ።'],66,62
114,I AGREE WITH THE ABOVE COMMUNICATIONS CONSENT:,ምስዚ ኣብ ላዕሊ ዘሎ ስምምዕ ርክባት እሰማማዕ፦,medical,['I AGREE WITH THE ABOVE COMMUNICATIONS CONSENT:'],['ምስዚ ኣብ ላዕሊ ዘሎ ስምምዕ ርክባት እሰማማዕ፦'],7,7
118,**Please see following for IMPORTANT NOTICES”,**በይዘኦም ንዝስዕቡ ኣገደስቲ ምልክታታት ይር አዩ”,medical,['**Please see following for IMPORTANT NOTICES”'],['**በይዘኦም ንዝስዕቡ ኣገደስቲ ምልክታታት ይር አዩ”'],6,6
120,Please read entire form before signing.,ቅድሚ ምፍራሞም በይዘኦም ምሉእ ቅጥዒ የንብብዎ።,medical,['Please read entire form before signing.'],['ቅድሚ ምፍራሞም በይዘኦም ምሉእ ቅጥዒ የንብብዎ።'],6,6
121,Changes will not be accepted on this form.,ኣብዚ ቅጥዒ ለውጢታት ተቐባልነት ኣይህልዎን።,medical,['Changes will not be accepted on this form.'],['ኣብዚ ቅጥዒ ለውጢታት ተቐባልነት ኣይህልዎን።'],8,5
122,"By signing this, I agree that I have read everything in this Consent and agree that everything in this Consent will apply to current and future health care services provided by Providers.",ነዚ ብምፍራም፣ ኣብዚ ስምምዕ ዘሎ ኩሉ ከም ዘንበብክዎን ኩሉ ኣብዚ ስምምዕ ዘሎ ብወሃብቲ ኣገልግሎት ዝወሃብ ህሉውን መጻእን ኣገልግሎት ክንክን ጥዕና ከም ዝምልከት እሰማማዕ።,medical,"['By signing this, I agree that I have read everything in this Consent and agree that everything in this Consent will apply to current and future health care services provided by Providers.']",['ነዚ ብምፍራም፣ ኣብዚ ስምምዕ ዘሎ ኩሉ ከም ዘንበብክዎን ኩሉ ኣብዚ ስምምዕ ዘሎ ብወሃብቲ ኣገልግሎት ዝወሃብ ህሉውን መጻእን ኣገልግሎት ክንክን ጥዕና ከም ዝምልከት እሰማማዕ።'],32,23
123,SIGNATURE OF PATIENT/LEGAL REPRESENTATIVE,ፊርማ ተሓካሚ/ሕጋዊ ወኪል,medical,['SIGNATURE OF PATIENT/LEGAL REPRESENTATIVE'],['ፊርማ ተሓካሚ/ሕጋዊ ወኪል'],4,3
126,SIGNATURE OF GUARANTOR (IF OTHER THAN PATIENT/LEGAL REPRESENTATIVE),ፊርማ ዋሕስ (ካብ ሕሙም/ሕጋዊ ወኪል ወጻኢ እንተኾይኑ),medical,['SIGNATURE OF GUARANTOR (IF OTHER THAN PATIENT/LEGAL REPRESENTATIVE)'],['ፊርማ ዋሕስ (ካብ ሕሙም/ሕጋዊ ወኪል ወጻኢ እንተኾይኑ)'],8,7
129,GENERAL CONSENT FOR PROFESSIONAL/CLINIC,ሓፈሻዊ ስምምዕ ንበዓል ሞያ/ክሊኒክ,medical,['GENERAL CONSENT FOR PROFESSIONAL/CLINIC'],['ሓፈሻዊ ስምምዕ ንበዓል ሞያ/ክሊኒክ'],4,4
131,Page 1 of 2,ገጽ 1 ካብ 2,medical,['Page 1 of 2'],['ገጽ 1 ካብ 2'],4,4
136,Current and/or previous providers may share your medical records to Providers to facilitate your health care.,ናይ ሕጂን/ወይ ቅድሚ ሕጂ ዘለዉን ወሃብቲ ኣገልግሎት፣ ንሕክምናዊ ክንክኖም ንምምችቻው መዛግብቲ ሕክምንኦም ንወሃብቲ ኣገልግሎት ከካፍልዎም ይኽእሉ።,medical,['Current and/or previous providers may share your medical records to Providers to facilitate your health care.'],['ናይ ሕጂን/ወይ ቅድሚ ሕጂ ዘለዉን ወሃብቲ ኣገልግሎት፣ ንሕክምናዊ ክንክኖም ንምምችቻው መዛግብቲ ሕክምንኦም ንወሃብቲ ኣገልግሎት ከካፍልዎም ይኽእሉ።'],16,16
137,The Providers may use minimally necessary medical records for your health care.,እቶም ወሃብቲ ኣገልግሎት ንሕክምና ጥዕንኦም ብውሑድ ኣድለይቲ ዝኾኑ መዛግብቲ ሕክምና ክጥቀሙ ይኽእሉ።,medical,['The Providers may use minimally necessary medical records for your health care.'],['እቶም ወሃብቲ ኣገልግሎት ንሕክምና ጥዕንኦም ብውሑድ ኣድለይቲ ዝኾኑ መዛግብቲ ሕክምና ክጥቀሙ ይኽእሉ።'],12,12
138,"Providers may share your minimally necessary medical information with family members and friends involved in your care to make decisions about your care, if you are unable to do so or give permission.",ወሃብቲ ኣገልግሎት ብዛዕባ ጥዕንኦም ውሳነታት ንምውሳን ምስ ኣባላት ስድራቤትን ኣብ ጥዕንኦም ዝነጥፉ ኣዕሩኽን ብውሑድ ኣድላዪ ዝኾነ ሕክምናዊ ሓበሬትኦም ከካፍልዎም ይኽእሉ እዮም፣ እንድሕር ንሶም ክገብርዎ ወይ ፍቓድ ክህቡ እንተዘይክኢሎም።,medical,"['Providers may share your minimally necessary medical information with family members and friends involved in your care to make decisions about your care, if you are unable to do so or give permission.']",['ወሃብቲ ኣገልግሎት ብዛዕባ ጥዕንኦም ውሳነታት ንምውሳን ምስ ኣባላት ስድራቤትን ኣብ ጥዕንኦም ዝነጥፉ ኣዕሩኽን ብውሑድ ኣድላዪ ዝኾነ ሕክምናዊ ሓበሬትኦም ከካፍልዎም ይኽእሉ እዮም፣ እንድሕር ንሶም ክገብርዎ ወይ ፍቓድ ክህቡ እንተዘይክኢሎም።'],33,28
139,"Providers may share your medical records to third-party payers, insurance companies, review agencies, employers, welfare departments, and third-party data service providers such as health information exchange programs.",ወሃብቲ ኣገልግሎት መዛግብቲ ሕክምንኦም ንሳልሳይ ወገን ከፈልቲ፣ ናይ መድሕን ኩባንያታት፣ ንናይ ግምገማ ትካላት፣ ኣስራሕቲ፣ ክፍልታት ድሕነት፣ ከምኡ’ውን ሳልሳይ ወገን ወሃብቲ ኣገልግሎት መረዳእታ ከም መደባት ምልውዋጥ ሓበሬታ ጥዕና ከካፍሉ ይኽእሉ።,medical,"['Providers may share your medical records to third-party payers, insurance companies, review agencies, employers, welfare departments, and third-party data service providers such as health information exchange programs.']",['ወሃብቲ ኣገልግሎት መዛግብቲ ሕክምንኦም ንሳልሳይ ወገን ከፈልቲ፣ ናይ መድሕን ኩባንያታት፣ ንናይ ግምገማ ትካላት፣ ኣስራሕቲ፣ ክፍልታት ድሕነት፣ ከምኡ’ውን ሳልሳይ ወገን ወሃብቲ ኣገልግሎት መረዳእታ ከም መደባት ምልውዋጥ ሓበሬታ ጥዕና ከካፍሉ ይኽእሉ።'],27,29
140,"You have the right to request a restriction of your health information by contacting Health Information Management, 1701 N Senate Blvd., Indianapolis, IN 46202.",ንHealth Information Management፣ 1701 N Senate Blvd.፣ Indianapolis፣ IN 46202 ብምርካብ ናይ ጥዕና ሓበሬታኦም ገደብ ናይ ምሕታት መሰል ኣለዎም።,medical,"['You have the right to request a restriction of your health information by contacting Health Information Management, 1701 N Senate Blvd., Indianapolis, IN 46202.']",['ንHealth Information Management፣ 1701 N Senate Blvd.፣ Indianapolis፣ IN 46202 ብምርካብ ናይ ጥዕና ሓበሬታኦም ገደብ ናይ ምሕታት መሰል ኣለዎም።'],24,19
141,"At any time, you may change this by giving written notice to Providers.",ኣብ ዝኾነ እዋን፣ ንወሃብቲ ኣገልግሎት ብጽሑፍ ምልክታ ብምሃብ ነዚ ክቕይርዎ ይኽእሉ እዮም።,medical,"['At any time, you may change this by giving written notice to Providers.']",['ኣብ ዝኾነ እዋን፣ ንወሃብቲ ኣገልግሎት ብጽሑፍ ምልክታ ብምሃብ ነዚ ክቕይርዎ ይኽእሉ እዮም።'],13,12
143,Providers’ Notice of Privacy Practices has been given or made available.,ናይ ወሃብቲ ኣገልግሎት ምልክታ ናይ ብሕታዊነት ኣሰራርሓታት ተዋሂቡ ወይ ቅሩብ ተገይሩ ኣሎ።,medical,['Providers’ Notice of Privacy Practices has been given or made available.'],['ናይ ወሃብቲ ኣገልግሎት ምልክታ ናይ ብሕታዊነት ኣሰራርሓታት ተዋሂቡ ወይ ቅሩብ ተገይሩ ኣሎ።'],11,12
144,USE AND DISPOSAL OF BODY PARTS:,ኣጠቓቕማን ምውጋድን ክፍሊ ኣካላት፦,medical,['USE AND DISPOSAL OF BODY PARTS:'],['ኣጠቓቕማን ምውጋድን ክፍሊ ኣካላት፦'],6,4
145,"Providers are part of a research and teaching institution and are permitted to use body parts removed from procedure(s), including organs, tissue, bone, or bodily fluids, for these purposes.",ወሃብቲ ኣገልግሎት ኣካል ናይ ሓደ መጽናዕትን መምሃሪን ኣካል ኮይኖም፣ ካብ ኣገባብ (ባት) ዝተኣልዩ ክፍልታት ኣካላት፣ እንተላይ ኣካላት፣ ቲሹ፣ ዓጽሚ ወይ ፈሳሲ ኣካላት፣ ነዞም ዕላማታት ክጥቀሙ ይፍቀደሎም።,medical,"['Providers are part of a research and teaching institution and are permitted to use body parts removed from procedure(s), including organs, tissue, bone, or bodily fluids, for these purposes.']",['ወሃብቲ ኣገልግሎት ኣካል ናይ ሓደ መጽናዕትን መምሃሪን ኣካል ኮይኖም፣ ካብ ኣገባብ (ባት) ዝተኣልዩ ክፍልታት ኣካላት፣ እንተላይ ኣካላት፣ ቲሹ፣ ዓጽሚ ወይ ፈሳሲ ኣካላት፣ ነዞም ዕላማታት ክጥቀሙ ይፍቀደሎም።'],29,26
